"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"tm_cant_be_bought","Sorry, but that<br/>can't be bought!","Sorry, but that<br/>can't be bought!","Omlouvám se,<br/>ale tohle nemůže být zakoupeno!","Das kann nicht<br/>gekauft werden!","Извините,<br/>но не может быть куплен!","Wybacz, ale tego<br/>nie da się kupić!","Sorry, but that<br/>can't be bought!","Sorry, but that<br/>can't be bought!","Lo siento,pero esto<br/>no esta en venta!","Désolé, Ceci ne peux<br/>être acheté!","Sorry, but that<br/>can't be bought!","Sorry, but that<br/>can't be bought!","Desculpa esse item não esta autorizado<br/>a ser comprado","Sorry, but that<br/>can't be bought!",
"tm_cant_afford","Sorry, but you can't<br/>afford that!","Sorry, but you can't<br/>afford that!","Omlouvám se,<br/>ale tohle si nemůžete dovolot!","Das kannst du dir<br/>nicht leisten!","Извините,<br/>у Вас не хватает денег, чтобы купить!","Wybacz, ale<br/>nie stać cię na to!","Sorry, but you can't<br/>afford that!","Sorry, but you can't<br/>afford that!","Lo siento, pero no puedes<br/>permitirte esto!","Désolé, mais vous ne pouvez pas<br/>porter cela!","Sorry, but you can't<br/>afford that!","Sorry, but you can't<br/>afford that!","Desculpe, mas não têns Rublos suficientes<br/>para esse item","Sorry, but you can't<br/>afford that!",
"tm_way_blocked","<br/>is blocking the Way!","<br/>is blocking the Way!","<br/>blokuje cestu!","<br/>blockiert den Weg!","<br/>блокирует дорогу!","<br/>blokuje ci drogę!","<br/>is blocking the Way!","<br/>is blocking the Way!","<br/>esta bloqueando el camino!","<br/>bloque le chemin!","<br/>is blocking the Way!","<br/>is blocking the Way!","<br/>esta a bloquear o espaço do spawn","<br/>is blocking the Way!",
"tm_parked_next_to_you","was parked next to you!","was parked next to you!","bylo zaparkováno vedle vás!","wurde neben dir geparkt!","была припаркована рядом с Вами!","był zaparkowany obok ciebie!","was parked next to you!","was parked next to you!","estacionara a tu lado!","a été garé à côté de vous!","was parked next to you!","was parked next to you!","está estacionado ao teu lado","was parked next to you!",
"tm_added_to_inventory","was added to your Inventory!","was added to your Inventory!","byl přidán do vašeho inventáře!","wurde deinem Inventar<br/>hinzugefügt!","был добавлен в Ваш инвентарь!","dodane do Twojego ekwipunku!","was added to your Inventory!","was added to your Inventory!","ha sido añadido a tu inventario!","a été ajouté a votre Inventaire!","was added to your Inventory!","was added to your Inventory!","foi adicionado ao teu Inventário","was added to your Inventory!",
"tm_inventory_full","Your Inventory is full!","Your Inventory is full!","Tvůj inventář je plný!","Dein Inventar ist voll!","Ваш инвентарь полон!","Twój inwentarz jest pełen!","Your Inventory is full!","Your Inventory is full!","Tu inventario esta lleno!","Votre inventaire est plein!","Your Inventory is full!","Your Inventory is full!","O teu inventário está cheio","Your Inventory is full!",
"tm_was_placed_on_ground","was placed on Ground!","was placed on Ground!","byl položen na zem!","liegt auf dem Boden!","был сброшен на землю!","leży na ziemi!","was placed on Ground!","was placed on Ground!","esta en el suelo!","a été placé au sol!","was placed on Ground!","was placed on Ground!","foi colocado no chão","was placed on Ground!",
"tm_some_currency_on_ground","Some Currencys were placed<br/>on Ground!","Some Currencys were placed<br/>on Ground!","Některá měna byla položena<br/>na zem!","Etwas von dem Geld<br/>liegt auf dem Boden!","Некоторые деньги были сброшены<br/>на землю!","Część pieniędzy leży na ziemi!","Some Currencys were placed<br/>on Ground!","Some Currencys were placed<br/>on Ground!","Algo de dinero<br/>fue colocado en el suelo!","De l'argent a été placé<br/>sur le sol!","Some Currencys were placed<br/>on Ground!","Some Currencys were placed<br/>on Ground!","Foram colocados alguns Rublos<br/>no chão","Some Currencys were placed<br/>on Ground!",
"tm_some","Some","Some","Něco","Etwas","Некоторые","Część","Some","Some","Algo","Quelques","Some","Some","Foram colocados alguns","Some",
"tm_were_placed_on_ground","were placed on Ground!","were placed on Ground!","byly položeny na zem!","liegt auf dem Boden!","были сброшены на землю!","leży na ziemi!","were placed on Ground!","were placed on Ground!","fueron colocados en el suelo!","ont été placés sur le sol!","were placed on Ground!","were placed on Ground!","no chão","were placed on Ground!",
"tm_your_currency_on_ground","Your Currencys were placed<br/>on Ground!","Your Currencys were placed<br/>on Ground!","Měna byla položena<br/>na zem!","Dein Geld liegt<br/>auf dem Boden!","Ваши деньги были сброшены<br/>на землю!","Twoje pieniądze leżą<br/>na ziemi!","Your Currencys were placed<br/>on Ground!","Your Currencys were placed<br/>on Ground!","Tu dinero se encuentra<br/>en el suelo!","Votre argent a été placé<br/>sur le sol!","Your Currencys were placed<br/>on Ground!","Your Currencys were placed<br/>on Ground!","O teu dinheiro foi colocado<br/>no chão","Your Currencys were placed<br/>on Ground!",
"tm_cant_be_sold","Sorry, but that can't<br/>be sold!","Sorry, but that can't<br/>be sold!","Omlouvám se,<br/>ale tohle nemůže být prodáno!","Das kann nicht<br/>verkauft werden!","Извините,<br/>но не может быть продан!","Wybacz, ale tego<br/>nie da się sprzedać!","Sorry, but that can't<br/>be sold!","Sorry, but that can't<br/>be sold!","Lo siento,<br/>esto no esta en venta!","Désolé, mais ceci ne peut pas<br/>être vendu!","Sorry, but that can't<br/>be sold!","Sorry, but that can't<br/>be sold!","Desculpa, mas esse item não está<br/>autorizado a ser vendido","Sorry, but that can't<br/>be sold!",
"tm_you_cant_sell","Sorry, but you can't<br/>sell that!","Sorry, but you can't<br/>sell that!","Omlouvám se,<br/>ale tohle nemůžeš prodat!","Du kannst das<br/>nicht verkaufen!","Извините,<br/>но не может быть продан,<br/>так как предмет отсутствует!","Wybacz, ale nie<br/>możesz tego sprzedać!","Sorry, but you can't<br/>sell that!","Sorry, but you can't<br/>sell that!","Lo siento,<br/>tu no puedes vender esto!","Désolé, mais vous ne pouvez<br/>pas vendre cela!","Sorry, but you can't<br/>sell that!","Sorry, but you can't<br/>sell that!","Desculpa, não têns<br/>esse item","Sorry, but you can't<br/>sell that!",
"tm_cant_sell_vehicle","Place the Vehicle inside<br/>the Traffic Cones!<br/>Make sure you was<br/>the last Driver!","Place the Vehicle inside<br/>the Traffic Cones!<br/>Make sure you was<br/>the last Driver!","Zaparkujte vozidlo do<br/>kuželů!<br/>Make sure you was<br/>the last Driver!","Parke das Fahrzeug<br/>innerhalb der Pilonen!<br/>Du musst der letzte<br/>Fahrer gewesen sein!","Поместите транспортное средство<br/>внутри дорожных конусов!<br/>убедитесь, что вы были последним водителем!","Umieść pojazd w<br/>stożkach drogowych!<br/>Upewnij się, że byłeś<br/>ostatnim kierowcą!","Place the Vehicle inside<br/>the Traffic Cones!<br/>Make sure you was<br/>the last Driver!","Place the Vehicle inside<br/>the Traffic Cones!<br/>Make sure you was<br/>the last Driver!","Coloca el vehiculo dentro<br/>de los conos de trafico!<br/>Asegurate de ser el ultimo conductor!","Placez le véhicule à l'intérieur<br/>des cônes de signalisation!<br/>Assurez-vous que vous étiez<br/>le dernier pilote!","Place the Vehicle inside<br/>the Traffic Cones!<br/>Make sure you was<br/>the last Driver!","Place the Vehicle inside<br/>the Traffic Cones!<br/>Make sure you was<br/>the last Driver!","Estaciona o veículo entre<br/>os cones!<br/>Tem a certeza q foste o ultimo condutor do veículo","Place the Vehicle inside<br/>the Traffic Cones!<br/>Make sure you was<br/>the last Driver!",
"tm_sold","sold","sold","prodal","verkaufte","продал","sprzedał/a","sold","sold","ha vendido","vendu","sold","sold","vendeu","sold",
"tm_was_sold","was sold!","was sold!","byl prodán!","wurde verkauft!","был продан!","został sprzedany!","was sold!","was sold!","fue vendido!","a été vendu!","was sold!","was sold!","foi vendido!","was sold!",
"tm_no_trader_nearby","There is no Trader nearby..","There is no Trader nearby..","Není tu poblíž žádný obchodník..","Es ist kein Händler in der Nähe..","Поблизости нет ни одного торговца..","W pobliżu nie ma Tradera..","There is no Trader nearby..","There is no Trader nearby..","No hay comerciantes cerca..","Il n'y a pas de vendeur à proximité..","There is no Trader nearby..","There is no Trader nearby..","Não ha nenhum vendedor próximo..","There is no Trader nearby..",
"tm_entered_safezone","You entered the Safezone!","You entered the Safezone!","Vkročil jsi do bezpečné zóny!","Du hast die Safezone betreten!","Вы вошли в Безопасную Зону!","Wszedłeś do Safezone!","You entered the Safezone!","You entered the Safezone!","Entraste en el Safezone!","Vous êtes entré dans la Safezone!","You entered the Safezone!","You entered the Safezone!","Entras-te na Safezone!","You entered the Safezone!",
"tm_press_to_open_menu","Press the 'B'-Key to<br/>open the Trader Menu.","Press the 'B'-Key to<br/>open the Trader Menu.","Stiskni 'B'-Klávesu pro<br/>otevření menu obchodníka.","Mit der 'B'-Taste öffnest<br/>du das Händler Menü.","Нажмите кнопку 'B'<br/>чтобы открыть меню торговца.","Naciśnij klawisz „B”, aby<br/>otworzyć menu tradera.","Press the 'B'-Key to<br/>open the Trader Menu.","Press the 'B'-Key to<br/>open the Trader Menu.","Pulse la 'B'-tecla para<br/>abrir el menu del comerciante!","Appuyez sur la touche 'B' pour<br/>ouvrir le menu Trader.","Press the 'B'-Key to<br/>open the Trader Menu.","Press the 'B'-Key to<br/>open the Trader Menu.","Carrega na tecla 'B' para<br/>abrires o Menu do trader","Press the 'B'-Key to<br/>open the Trader Menu.",
"tm_welcome_back","Welcome back!","Welcome back!","Vítejte zpět!","Willkommen zurück!","С возвращением!","Witamy spowrotem!","Welcome back!","Welcome back!","Bienvenido de nuevo!","Bon retour!","Welcome back!","Welcome back!","Bem vindo de volta!","Welcome back!",
"tm_left_safezone","You left the Safezone!","You left the Safezone!","Opustil jsi bezpečnou zónu!","Du hast die Safezone verlassen!","Вы покинули Безопасную Зону!","Opuściłeś Safezone!","You left the Safezone!","You left the Safezone!","Abandonaste el Safezone!","Vous quittez la Safezone!","You left the Safezone!","You left the Safezone!","sais-te da Safezone!","You left the Safezone!",
"tm_leaving_the_safezone_in","You are leaving the<br/>Safezone in","You are leaving the<br/>Safezone in","Opouštíš bezpečnou<br/>zónu za","Du verlässt die<br/>Safezone in","Вы покинете<br/>Безопасную зону через","Opuszczasz Safezone za","You are leaving the<br/>Safezone in","You are leaving the<br/>Safezone in","Estas dejando el<br/>Safezone in","Vous quitterez <br/>la Safesone dans","You are leaving the<br/>Safezone in","You are leaving the<br/>Safezone in","Sais defenitivamente da<br/>Safezone em","You are leaving the<br/>Safezone in",
"tm_seconds","Seconds","Seconds","Sekundy","Sekunden","секунд","sekund","Seconds","Seconds","segundos","Secondes","Seconds","Seconds","Segundos","Seconds",
"tm_not_that_fast","Not that fast Bro!","Not that fast Bro!","Ne tak rychle kámo!","Nicht so schnell Alter!","Не так быстро, братан!","Nie tak szybko, koleś!","Not that fast Bro!","Not that fast Bro!","No tan rapido amigo!","Pas si vite Mec!","Not that fast Bro!","Not that fast Bro!","Doi-te tudo é uma desgraça,<br/>respira fundo que isso pássa,<br/>tem calma, RELAXA","Not that fast Bro!",
"tm_cancel","Cancel","Cancel","Zrušit","Abbrechen","Закрыть","Anuluj","Cancel","Cancel","Cancelar","Annuler","Cancel","Cancel","Fechar Menu","Cancel",
"tm_buy","Buy","Buy","Koupit","Kaufen","Купить","Kup to","Buy","Buy","Comprar","Acheter","Buy","Buy","Comprar","Buy",
"tm_sell","Sell","Sell","Prodat","Verkaufen","Продать","Sprzedaj to","Sell","Sell","Vender","Vendre","Sell","Sell","Vender","Sell",
"tm_item","Item","Item","Věc","Gegenstand","Предмет","Przedmiot","Item","Item","Articulo","Objets","Item","Item","Item","Item",
"tm_price_buy","Price Buy","Price Buy","Cena koupě","Kaufpreis","Цена покупки","Cena kupna","Price Buy","Price Buy","Precio de compra","Prix d'Achat","Price Buy","Price Buy","Valor de compra","Price Buy",
"tm_price_sell","Price Sell","Price Sell","Cena prodeje","Verkaufspreis","Цена продажи","Cena sprzedaży","Price Sell","Price Sell","Precio de venta","Prix de Vente","Price Sell","Price Sell","Valor de venda","Price Sell",
"tm_ruble","Ruble","Ruble","Rubl","Rubel","Рубль","Rubel","Ruble","Ruble","Rublo","Rouble","Ruble","Ruble","Rublos","Ruble",
"STR_tm_1_ruble_note","1 Ruble Note","1 Ruble Note","1 Rubl","1 Rubel Schein","Банкнота 1 рубль","1 Rubel","1 Ruble Note","1 Ruble Note","1 nota de rublo","Billet de 1 Rouble","1 Ruble Note","1 Ruble Note","1 Rublo","1 Ruble Note",
"STR_tm_5_ruble_note","5 Ruble Note","5 Ruble Note","5 Rublů","5 Rubel Schein","Банкнота 5 рублей","5 Rubli","5 Ruble Note","5 Ruble Note","5 notas de rublo","Billet de 5 Roubles","5 Ruble Note","5 Ruble Note","5 Rublos","5 Ruble Note",
"STR_tm_10_ruble_note","10 Ruble Note","10 Ruble Note","10 Rublů","10 Rubel Schein","Банкнота 10 рублей","10 Rubli","10 Ruble Note","10 Ruble Note","10 notas de rublo","Billet de 10 Roubles","10 Ruble Note","10 Ruble Note","10 Rublos","10 Ruble Note",
"STR_tm_25_ruble_note","25 Ruble Note","25 Ruble Note","25 Rublů","25 Rubel Schein","Банкнота 25 рублей","25 Rubli","25 Ruble Note","25 Ruble Note","25 notas de rublo","Billet de 25 Roubles","25 Ruble Note","25 Ruble Note","25 Rublos","25 Ruble Note",
"STR_tm_50_ruble_note","50 Ruble Note","50 Ruble Note","50 Rublů","50 Rubel Schein","Банкнота 50 рублей","50 Rubli","50 Ruble Note","50 Ruble Note","50 notas de rublo","Billet de 50 Roubles","50 Ruble Note","50 Ruble Note","50 Rublos","50 Ruble Note",
"STR_tm_100_ruble_note","100 Ruble Note","100 Ruble Note","100 Rublů","100 Rubel Schein","Банкнота 100 рублей","100 Rubli","100 Ruble Note","100 Ruble Note","100 notas de rublo","Billet de 100 Roubles","100 Ruble Note","100 Ruble Note","100 Rublos","100 Ruble Note",
"STR_tm_ruble_description","This Currency was used in Chernarus before the Disease. It is now only used for trading.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","Tahle měna byla používána v Černarusi před nákazou. Nyní se používá pouze pro obchodování.","Diese Währung wurde in Chernarus vor dem Ausbruch genutzt. Sie wird nun lediglich für den Handel benutzt.","Эта валюта использовалась в Черноруссии до апокалипсиса. И по сей день не потеряла своей ценности.","Waluta która była używana w Chernarus przed wirusem. Teraz używana tylko do handlowania.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","Esta moneda se usó en Chernarus antes de la enfermedad. Ahora solo se utiliza para el comercio.","Cette monnaie était utilisée à Chernarus avant la maladie. Elle est maintenant utilisée pour l'achat et la vente d'objets.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","This Currency was used in Chernarus before the Disease. It is now only used for trading.","Esta moeda era utilizada em Chernarus antes da epidemia. É a moeda de troca para o comércio","This Currency was used in Chernarus before the Disease. It is now only used for trading.",
"STR_tm_vehicle_key","Vehicle Key","Vehicle Key","Klíč od auta","Fahrzeugschlüssel","Ключ от автомобиля","Klucz","Vehicle Key","Vehicle Key","llaves del vehiculo","Cléf du véhicule","Vehicle Key","Vehicle Key","Chave do veiculo","Vehicle Key",
"STR_tm_vehicle_key_description","This is just a normal Key to lock and unlock your Vehicle.","This is just a normal Key to lock and unlock your Vehicle.","Tohle je jen normální klič na zamykání a odemykání tvého vozidla.","Ein normaler Schlüssel um ein Fahrzeug abzuschließen oder aufzuschließen.","Это просто обычный ключ для блокировки и разблокировки вашего автомобиля.","To tylko zwykły klucz do zablokowania i odblokowania twojego pojazdu.","This is just a normal Key to lock and unlock your Vehicle.","This is just a normal Key to lock and unlock your Vehicle.","Esta es solo una llave normal para abrir y cerrar el vehiculo.","Ceci est juste une clé normale pour verrouiller et déverrouiller votre véhicule.","This is just a normal Key to lock and unlock your Vehicle.","This is just a normal Key to lock and unlock your Vehicle.","Chave para abrir e fechar o teu veiculo.","This is just a normal Key to lock and unlock your Vehicle.",